task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
319	4e/6a7b27	4610481.pbsha.ib.sockeye	benchmark (317)	FAILED	1	2023-02-07 21:21:35.376	44.8s	30.8s	96.4%	6.6 MB	233.2 MB	1.8 GB	3 GB
191	3d/15bf68	4610336.pbsha.ib.sockeye	benchmark (189)	COMPLETED	0	2023-02-07 21:16:20.420	6m 5s	5m 35s	97.6%	1.4 GB	4.1 GB	2.9 GB	3 GB
204	d0/47d43f	4610348.pbsha.ib.sockeye	benchmark (202)	COMPLETED	0	2023-02-07 21:16:52.379	5m 43s	5m 29s	101.0%	1.9 GB	6.3 GB	3 GB	3.1 GB
221	67/047878	4610365.pbsha.ib.sockeye	benchmark (219)	COMPLETED	0	2023-02-07 21:17:25.353	5m 15s	4m 54s	100.4%	1.7 GB	5.7 GB	3 GB	3.1 GB
243	a3/897da0	4610383.pbsha.ib.sockeye	benchmark (241)	FAILED	1	2023-02-07 21:18:05.417	4m 35s	4m 10s	103.4%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
234	ba/24e9e4	4610399.pbsha.ib.sockeye	benchmark (232)	FAILED	1	2023-02-07 21:18:30.792	4m 14s	3m 54s	101.6%	2 GB	6.7 GB	2.9 GB	3.1 GB
322	be/e01059	4610483.pbsha.ib.sockeye	benchmark (320)	FAILED	1	2023-02-07 21:21:50.301	55.1s	27.5s	109.1%	242 MB	908.4 MB	1.8 GB	3 GB
282	9e/c4ea31	4610439.pbsha.ib.sockeye	benchmark (280)	FAILED	1	2023-02-07 21:20:00.361	2m 50s	2m 15s	67.9%	931.3 MB	2.9 GB	2 GB	3 GB
318	82/51fa97	4610473.pbsha.ib.sockeye	benchmark (316)	FAILED	1	2023-02-07 21:21:25.311	1m 25s	50.8s	98.4%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
295	bb/fdde70	4610451.pbsha.ib.sockeye	benchmark (293)	FAILED	1	2023-02-07 21:20:25.285	2m 30s	1m 53s	92.6%	983.3 MB	2.9 GB	2 GB	3 GB
212	cd/8c9687	4610361.pbsha.ib.sockeye	benchmark (210)	COMPLETED	0	2023-02-07 21:17:15.285	5m 50s	5m 31s	100.9%	2 GB	6.8 GB	3 GB	3.1 GB
218	fb/e68614	4610364.pbsha.ib.sockeye	benchmark (216)	COMPLETED	0	2023-02-07 21:17:25.280	5m 40s	5m 18s	97.1%	1.9 GB	6.3 GB	3 GB	3.1 GB
301	a7/c7043d	4610468.pbsha.ib.sockeye	benchmark (299)	FAILED	1	2023-02-07 21:21:05.275	2m	1m 25s	103.4%	1 GB	3.5 GB	2 GB	3 GB
313	49/4a1573	4610471.pbsha.ib.sockeye	benchmark (311)	FAILED	1	2023-02-07 21:21:15.271	1m 50s	1m 24s	100.0%	846.5 MB	2.9 GB	2 GB	3 GB
271	dc/a7e22a	4610426.pbsha.ib.sockeye	benchmark (269)	FAILED	1	2023-02-07 21:19:42.345	3m 33s	2m 59s	82.1%	1.1 GB	3.5 GB	3 GB	3 GB
160	e5/fd5631	4610286.pbsha.ib.sockeye	benchmark (158)	COMPLETED	0	2023-02-07 21:13:45.640	9m 35s	9m 12s	101.5%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
182	8b/5ab063	4610321.pbsha.ib.sockeye	benchmark (180)	COMPLETED	0	2023-02-07 21:15:40.317	7m 45s	7m 5s	110.6%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
310	95/82a14c	4610464.pbsha.ib.sockeye	benchmark (308)	FAILED	1	2023-02-07 21:20:50.297	2m 35s	1m 56s	101.6%	897.4 MB	2.9 GB	2 GB	3 GB
200	30/0876f7	4610345.pbsha.ib.sockeye	benchmark (198)	COMPLETED	0	2023-02-07 21:16:52.149	6m 38s	6m 24s	98.2%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
264	24/5ea8b3	4610418.pbsha.ib.sockeye	benchmark (262)	FAILED	1	2023-02-07 21:19:11.024	4m 19s	4m 1s	98.1%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
286	a1/47c51c	4610444.pbsha.ib.sockeye	benchmark (284)	FAILED	1	2023-02-07 21:20:05.318	3m 25s	2m 57s	111.4%	1 GB	3.5 GB	2 GB	3 GB
331	2c/8d9a4b	4610488.pbsha.ib.sockeye	benchmark (329)	FAILED	1	2023-02-07 21:22:00.421	1m 35s	55.3s	102.4%	277.4 MB	979.2 MB	1.8 GB	3 GB
336	f7/1b72e2	4610501.pbsha.ib.sockeye	benchmark (334)	FAILED	1	2023-02-07 21:22:45.693	50.4s	26.7s	92.1%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
338	f3/7b978e	4610502.pbsha.ib.sockeye	benchmark (336)	FAILED	1	2023-02-07 21:22:46.221	49.8s	24.1s	100.9%	279.7 MB	979.7 MB	1.8 GB	3 GB
159	70/77edfd	4610285.pbsha.ib.sockeye	benchmark (157)	COMPLETED	0	2023-02-07 21:13:45.548	9m 55s	9m 33s	105.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
289	58/707d21	4610442.pbsha.ib.sockeye	benchmark (287)	FAILED	1	2023-02-07 21:20:01.200	3m 39s	3m 5s	104.1%	294.1 MB	981 MB	1.8 GB	3 GB
288	4c/ff42f2	4610443.pbsha.ib.sockeye	benchmark (286)	FAILED	1	2023-02-07 21:20:01.291	3m 39s	3m 5s	98.8%	264.7 MB	917.3 MB	1.8 GB	3 GB
317	8e/3366c9	4610484.pbsha.ib.sockeye	benchmark (315)	FAILED	1	2023-02-07 21:21:50.403	1m 50s	1m 28s	100.5%	1.1 GB	3.5 GB	2 GB	3 GB
